Country ,Population,GDP,Climate,Industrial,Solar,Hour 0,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22 ,Hour 23
Jamaica,2.84E+06,2.20E+10,Tropical,8,3,0.930185998,0.898023766,0.875742702,0.874967709,0.878261431,0.884073883,0.894923792,0.917398605,0.971260656,1.002841643,1.023185223,1.028997675,1.034616378,1.037328856,1.04042883,1.03074141,1.022022733,1.038103849,1.149896668,1.171402738,1.16035908,1.117928184,1.044303797,0.973004392
Japan,1.24E+08,4.03E+12,Temperate,21,10,0.806082645,0.74261157,0.668033058,0.642644628,0.636297521,0.641057851,0.68707438,0.766413223,0.899702479,1.175801653,1.277355372,1.301157025,1.266247934,1.218644628,1.31385124,1.307504132,1.278942149,1.236099174,1.163107438,1.109157025,1.052033058,0.993322314,0.936198347,0.880661157
Jordan,1.16E+07,5.34E+10,Temperate,18,15,0.784313725,0.711301248,0.62516934,0.587237077,0.571265597,0.556149733,0.569554367,0.587522282,0.770623886,0.957433155,1.085490196,1.180463458,1.262032086,1.353012478,1.341889483,1.309661319,1.260606061,1.232941176,1.191301248,1.197290553,1.316791444,1.283707665,1.189019608,1.075222816
Kazakhstan,2.06E+07,2.91E+11,Continential,12,2,0.976539144,0.910869014,0.886546744,0.874385609,0.873169496,0.873169496,0.876817836,0.879250063,0.908436787,1.02396757,1.070179883,1.09328604,1.096934381,1.075044337,1.090853813,1.101798835,1.101798835,1.096934381,1.058018748,0.9996453,1.039777046,1.064099316,1.027615911,1.000861414
Lebanon,5.81E+06,2.01E+10,Temperate,1,31,0.844233056,0.813317479,0.744351962,0.714625446,0.708680143,0.724137931,0.824019025,0.872770511,0.989298454,1.079667063,1.097502973,1.095124851,1.104637337,1.109393579,1.109393579,1.118906064,1.140309156,1.156956005,1.181926278,1.178359096,1.168846611,1.137931034,1.05588585,1.029726516
Mongolia,3.52E+06,2.38E+10,Arid,6,2,0.917039457,0.886505555,0.869668498,0.869563012,0.869461584,0.862028936,0.895386596,0.951748138,1.035296456,1.066556583,1.078999777,1.064264309,1.061018612,1.058831823,1.060811698,1.088943784,1.154713793,1.142063686,1.095954491,1.06551796,1.034042806,1.000478233,0.935552106,0.935552106
Pakistan,2.51E+08,3.72E+11,Arid,13,10,0.833680985,0.819957389,0.80994411,0.796220514,0.835252144,0.948293168,0.966033985,1.019865661,1.116246899,1.126594564,1.11009968,1.109330133,1.067852442,1.037491962,1.049676464,1.049836786,1.044440793,1.042759698,1.140075386,1.101368981,1.078406235,1.017483729,0.975089909,0.903998383
Papua New Guinea,1.06E+07,3.18E+10,Tropical,2,0.21,1,0.908396947,0.908396947,0.885496183,0.977099237,0.977099237,1.022900763,0.86259542,1.022900763,1.41221374,1.366412214,1.442748092,1.312977099,1.290076336,1.190839695,1.183206107,1.312977099,1.183206107,0.839694656,0.801526718,0.847328244,0.442748092,0.41221374,0.396946565
Qatar,2.86E+06,2.19E+11,Arid,8,0.02,0.942108815,0.893187057,0.862932639,0.849372732,0.852498569,0.930320069,0.968816526,0.971929211,0.981034909,1.004024935,1.018277524,1.047628825,1.057115937,1.045151829,1.032771236,1.040645013,1.044581901,1.046125091,1.132276311,1.116331475,1.099992072,1.072933636,1.01286759,0.9770761
Saint Kitts and Nevis,4.68E+04,1.12E+09,Tropical,4,0,0.871560859,0.843608592,0.828486874,0.832610979,0.852315036,0.84223389,0.887140811,1.012696897,1.113508353,1.152916468,1.207904535,1.161164678,1.152916468,1.124047733,1.131837709,1.093804296,1.006739857,0.954042959,1.018653938,1.039274463,1.01773747,0.990243437,0.949918854,0.914634845
Saudi Arabia,3.53E+07,1.24E+12,Arid,16,2,0.99673305,1.001029313,0.998881181,0.985992392,0.968807339,0.939807563,0.906511524,0.917252182,0.95591855,0.997807116,1.018214366,1.033251287,1.038621616,1.060102931,1.069769523,1.069769523,1.043991945,1.034325352,1.007473708,1.036473484,1.010695905,0.991362721,0.962362945,0.954844484
Singapore,6.04E+06,5.47E+11,Tropical,16,2,1.190082645,1.095631641,0.928768201,0.780794963,0.654860291,0.717827627,0.846910665,0.944510035,1.256198347,1.038961039,0.783943329,0.787091696,0.648563558,0.563557654,0.71467926,0.761904762,0.916174734,0.8909878,1.108225108,1.256198347,1.536402991,1.662337662,1.589925226,1.325462416
South Korea,5.18E+07,1.88E+12,Continential,27,5,0.91275011,0.891017964,0.886811742,0.892420038,0.912049073,0.940090551,0.982152768,1.024214985,1.052256463,1.054359574,1.044545056,1.002482839,1.010194246,1.031225354,1.038936761,1.043844019,1.040338835,1.041039871,1.049452315,1.047349204,1.038235724,1.028421206,1.020008763,1.015802541
