Country,Latitude,Longitude,UTC_Offset_h,Winter_Jan1_Hour_00_W,Winter_Jan1_Hour_01_W,Winter_Jan1_Hour_02_W,Winter_Jan1_Hour_03_W,Winter_Jan1_Hour_04_W,Winter_Jan1_Hour_05_W,Winter_Jan1_Hour_06_W,Winter_Jan1_Hour_07_W,Winter_Jan1_Hour_08_W,Winter_Jan1_Hour_09_W,Winter_Jan1_Hour_10_W,Winter_Jan1_Hour_11_W,Winter_Jan1_Hour_12_W,Winter_Jan1_Hour_13_W,Winter_Jan1_Hour_14_W,Winter_Jan1_Hour_15_W,Winter_Jan1_Hour_16_W,Winter_Jan1_Hour_17_W,Winter_Jan1_Hour_18_W,Winter_Jan1_Hour_19_W,Winter_Jan1_Hour_20_W,Winter_Jan1_Hour_21_W,Winter_Jan1_Hour_22_W,Winter_Jan1_Hour_23_W,Winter_Jan1_Daily_Wh,Winter_Jan1_Peak_W,Spring_Apr1_Hour_00_W,Spring_Apr1_Hour_01_W,Spring_Apr1_Hour_02_W,Spring_Apr1_Hour_03_W,Spring_Apr1_Hour_04_W,Spring_Apr1_Hour_05_W,Spring_Apr1_Hour_06_W,Spring_Apr1_Hour_07_W,Spring_Apr1_Hour_08_W,Spring_Apr1_Hour_09_W,Spring_Apr1_Hour_10_W,Spring_Apr1_Hour_11_W,Spring_Apr1_Hour_12_W,Spring_Apr1_Hour_13_W,Spring_Apr1_Hour_14_W,Spring_Apr1_Hour_15_W,Spring_Apr1_Hour_16_W,Spring_Apr1_Hour_17_W,Spring_Apr1_Hour_18_W,Spring_Apr1_Hour_19_W,Spring_Apr1_Hour_20_W,Spring_Apr1_Hour_21_W,Spring_Apr1_Hour_22_W,Spring_Apr1_Hour_23_W,Spring_Apr1_Daily_Wh,Spring_Apr1_Peak_W,Summer_Jul1_Hour_00_W,Summer_Jul1_Hour_01_W,Summer_Jul1_Hour_02_W,Summer_Jul1_Hour_03_W,Summer_Jul1_Hour_04_W,Summer_Jul1_Hour_05_W,Summer_Jul1_Hour_06_W,Summer_Jul1_Hour_07_W,Summer_Jul1_Hour_08_W,Summer_Jul1_Hour_09_W,Summer_Jul1_Hour_10_W,Summer_Jul1_Hour_11_W,Summer_Jul1_Hour_12_W,Summer_Jul1_Hour_13_W,Summer_Jul1_Hour_14_W,Summer_Jul1_Hour_15_W,Summer_Jul1_Hour_16_W,Summer_Jul1_Hour_17_W,Summer_Jul1_Hour_18_W,Summer_Jul1_Hour_19_W,Summer_Jul1_Hour_20_W,Summer_Jul1_Hour_21_W,Summer_Jul1_Hour_22_W,Summer_Jul1_Hour_23_W,Summer_Jul1_Daily_Wh,Summer_Jul1_Peak_W,Autumn_Oct1_Hour_00_W,Autumn_Oct1_Hour_01_W,Autumn_Oct1_Hour_02_W,Autumn_Oct1_Hour_03_W,Autumn_Oct1_Hour_04_W,Autumn_Oct1_Hour_05_W,Autumn_Oct1_Hour_06_W,Autumn_Oct1_Hour_07_W,Autumn_Oct1_Hour_08_W,Autumn_Oct1_Hour_09_W,Autumn_Oct1_Hour_10_W,Autumn_Oct1_Hour_11_W,Autumn_Oct1_Hour_12_W,Autumn_Oct1_Hour_13_W,Autumn_Oct1_Hour_14_W,Autumn_Oct1_Hour_15_W,Autumn_Oct1_Hour_16_W,Autumn_Oct1_Hour_17_W,Autumn_Oct1_Hour_18_W,Autumn_Oct1_Hour_19_W,Autumn_Oct1_Hour_20_W,Autumn_Oct1_Hour_21_W,Autumn_Oct1_Hour_22_W,Autumn_Oct1_Hour_23_W,Autumn_Oct1_Daily_Wh,Autumn_Oct1_Peak_W
Senegal,14.5,-14.45,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.44,1026.69,1773.74,2313.94,2638.43,2748.86,2646.72,2330.62,1798.76,1059.15,205.11,0.0,0.0,0.0,0.0,0.0,0.0,18718.46,2748.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.3,1289.02,2000.74,2526.01,2844.99,2954.76,2855.68,2547.46,2032.68,1329.84,514.61,0.0,0.0,0.0,0.0,0.0,0.0,21368.09,2954.76,0.0,0.0,0.0,0.0,0.0,0.0,30.02,590.28,1300.55,1923.67,2390.05,2676.42,2776.05,2687.72,2412.46,1956.44,1341.37,632.34,48.13,0.0,0.0,0.0,0.0,0.0,20765.5,2776.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.2,1313.39,1993.05,2478.09,2752.24,2813.41,2661.72,2297.21,1725.67,978.0,196.6,0.0,0.0,0.0,0.0,0.0,0.0,19720.57,2813.41
Serbia,44.02,21.01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1052.63,1961.22,2495.77,2766.85,2802.57,2605.91,2158.62,1390.4,121.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17355.62,2802.57,0.0,0.0,0.0,0.0,0.0,0.0,176.9,993.36,1802.54,2447.55,2892.83,3131.66,3164.95,2993.1,2614.93,2033.39,1270.9,420.78,0.0,0.0,0.0,0.0,0.0,0.0,23942.91,3164.95,0.0,0.0,0.0,0.0,0.0,92.77,374.36,1077.66,1752.83,2304.26,2692.87,2904.25,2934.37,2782.87,2452.08,1951.8,1310.67,599.88,131.52,0.0,0.0,0.0,0.0,0.0,23362.19,2934.37,0.0,0.0,0.0,0.0,0.0,0.0,110.67,976.83,1797.56,2423.06,2834.12,3030.33,3014.1,2785.13,2340.79,1682.65,835.64,26.32,0.0,0.0,0.0,0.0,0.0,0.0,21857.22,3030.33
Seychelles,-4.68,55.49,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.65,1104.85,1841.11,2407.76,2779.28,2950.52,2921.54,2692.22,2263.1,1643.0,869.62,112.14,0.0,0.0,0.0,0.0,0.0,21887.8,2950.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.87,1106.3,1895.44,2495.25,2886.03,3066.29,3037.83,2800.25,2351.86,1696.99,866.34,56.03,0.0,0.0,0.0,0.0,0.0,22494.47,3066.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.44,972.49,1701.12,2255.91,2619.18,2787.72,2761.85,2541.45,2126.53,1522.57,755.78,20.58,0.0,0.0,0.0,0.0,0.0,20233.63,2787.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.17,1348.2,2091.77,2639.34,2978.0,3107.86,3030.45,2744.76,2249.65,1552.99,698.28,0.0,0.0,0.0,0.0,0.0,0.0,22915.46,3107.86
Sierra Leone,8.46,-11.78,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.59,1395.59,2085.47,2571.19,2848.3,2918.57,2782.9,2439.68,1888.04,1137.41,261.18,0.0,0.0,0.0,0.0,0.0,0.0,20865.93,2918.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689.84,1529.16,2218.09,2707.87,2988.67,3060.85,2925.18,2580.5,2028.15,1285.01,429.71,0.0,0.0,0.0,0.0,0.0,0.0,22443.03,3060.85,0.0,0.0,0.0,0.0,0.0,0.0,41.64,668.54,1394.87,2006.07,2448.19,2704.73,2771.67,2648.52,2336.32,1841.43,1187.42,452.09,0.0,0.0,0.0,0.0,0.0,0.0,20501.49,2771.67,0.0,0.0,0.0,0.0,0.0,0.0,48.03,823.94,1643.84,2293.74,2738.22,2971.43,2994.43,2807.48,2409.28,1803.02,1013.7,175.99,0.0,0.0,0.0,0.0,0.0,0.0,21723.09,2994.43
Singapore,1.35,103.82,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.42,1166.94,1884.68,2418.99,2751.79,2880.52,2805.63,2526.75,2044.87,1371.86,562.12,0.0,0.0,0.0,0.0,0.0,0.0,20763.57,2880.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.65,1219.87,1963.11,2516.51,2861.42,2995.93,2921.03,2636.07,2141.27,1448.17,612.5,0.0,0.0,0.0,0.0,0.0,0.0,21690.51,2995.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.68,1096.63,1766.4,2270.75,2587.86,2712.4,2643.68,2381.97,1930.49,1304.22,558.1,0.0,0.0,0.0,0.0,0.0,0.0,19597.17,2712.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.84,1379.62,2081.38,2586.73,2882.27,2967.25,2842.33,2506.7,1962.3,1227.52,388.35,0.0,0.0,0.0,0.0,0.0,0.0,21369.3,2967.25
Slovakia,48.67,19.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.59,885.07,1548.78,1901.19,1968.51,1756.74,1247.63,435.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9807.61,1968.51,0.0,0.0,0.0,0.0,0.0,0.0,77.4,696.05,1442.8,2081.39,2540.34,2798.11,2849.83,2695.13,2335.95,1783.31,1077.26,346.0,0.0,0.0,0.0,0.0,0.0,0.0,20723.56,2849.83,0.0,0.0,0.0,0.0,0.0,119.38,360.47,917.81,1511.13,2026.46,2405.77,2622.57,2666.75,2536.64,2237.48,1786.03,1221.95,627.3,208.48,29.41,0.0,0.0,0.0,0.0,21277.65,2666.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.7,1241.94,1872.0,2306.51,2526.61,2528.74,2312.81,1882.02,1254.39,505.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16925.63,2528.74
Slovenia,46.15,14.99,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.48,1050.92,1796.7,2215.47,2359.89,2245.03,1859.09,1154.71,141.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12883.13,2359.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.81,1252.56,1944.74,2466.63,2789.31,2905.96,2815.87,2519.62,2022.82,1350.23,585.49,22.0,0.0,0.0,0.0,0.0,0.0,21163.05,2905.96,0.0,0.0,0.0,0.0,0.0,38.23,228.26,725.48,1330.59,1884.88,2314.89,2586.53,2686.14,2610.01,2360.89,1950.64,1409.71,804.8,268.37,62.67,0.0,0.0,0.0,0.0,21262.1,2686.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.98,1104.04,1794.27,2295.14,2582.92,2653.39,2506.31,2142.33,1569.47,827.41,108.21,0.0,0.0,0.0,0.0,0.0,0.0,17914.48,2653.39
Solomon Islands,-9.65,160.16,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.49,1148.7,1875.09,2437.78,2808.58,2981.94,2957.15,2734.14,2313.9,1706.07,948.95,189.8,0.0,0.0,0.0,0.0,0.0,22462.6,2981.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.48,1108.47,1907.2,2513.48,2908.79,3093.87,3070.29,2837.68,2393.87,1741.61,906.88,67.14,0.0,0.0,0.0,0.0,0.0,22771.77,3093.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.7,876.9,1628.21,2197.5,2570.59,2745.58,2723.52,2504.24,2086.93,1474.72,688.82,0.0,0.0,0.0,0.0,0.0,0.0,19569.7,2745.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.68,1341.75,2087.77,2639.06,2982.48,3117.07,3044.66,2764.34,2274.95,1584.13,733.94,2.25,0.0,0.0,0.0,0.0,0.0,23041.08,3117.07
Somalia,5.15,46.2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.76,1230.22,1933.33,2443.39,2747.7,2845.45,2737.29,2422.53,1902.18,1190.12,360.71,0.0,0.0,0.0,0.0,0.0,0.0,20214.69,2845.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.48,1346.26,2059.21,2578.76,2889.64,2990.61,2882.45,2564.39,2037.92,1319.25,481.76,0.0,0.0,0.0,0.0,0.0,0.0,21659.72,2990.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.44,1239.88,1876.15,2346.22,2630.36,2723.55,2625.09,2335.72,1860.64,1220.26,484.07,0.0,0.0,0.0,0.0,0.0,0.0,19846.38,2723.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684.25,1512.22,2186.51,2659.33,2921.36,2972.86,2814.29,2444.66,1866.76,1103.02,264.14,0.0,0.0,0.0,0.0,0.0,0.0,21429.41,2972.86
South Africa,-30.56,22.94,2,0.0,0.0,0.0,0.0,0.0,0.0,40.49,441.5,1165.34,1864.26,2426.79,2812.81,3009.64,3014.59,2827.62,2451.14,1896.96,1203.07,475.25,52.51,0.0,0.0,0.0,0.0,23681.97,3014.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.29,840.59,1674.65,2322.87,2758.24,2978.29,2985.17,2778.95,2357.43,1722.28,897.15,65.67,0.0,0.0,0.0,0.0,0.0,21417.58,2985.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.61,1281.56,1958.91,2397.17,2616.36,2624.19,2420.93,1999.49,1341.26,406.8,0.0,0.0,0.0,0.0,0.0,0.0,17375.29,2624.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.2,1178.61,1936.98,2515.26,2888.91,3054.22,3012.01,2761.97,2304.11,1647.83,837.39,81.26,0.0,0.0,0.0,0.0,0.0,22563.76,3054.22
South Korea,35.91,127.77,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.34,1501.54,2227.22,2684.64,2909.76,2917.25,2707.85,2267.38,1563.23,453.84,0.0,0.0,0.0,0.0,0.0,0.0,19584.07,2917.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.13,1073.7,1868.83,2493.93,2916.71,3132.27,3141.82,2945.5,2542.09,1935.54,1152.17,306.52,0.0,0.0,0.0,0.0,0.0,23745.23,3141.82,0.0,0.0,0.0,0.0,0.0,0.0,72.54,425.77,1095.22,1746.09,2276.48,2644.46,2834.92,2843.57,2670.25,2318.67,1802.38,1159.14,484.06,92.02,0.0,0.0,0.0,0.0,22465.57,2843.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.81,1064.92,1863.63,2462.21,2847.5,3018.85,2978.17,2724.83,2256.85,1578.71,725.78,0.0,0.0,0.0,0.0,0.0,0.0,21717.25,3018.85
