Country,Latitude,Longitude,UTC_Offset_h,Hour_00_Local_AC_W,Hour_01_Local_AC_W,Hour_02_Local_AC_W,Hour_03_Local_AC_W,Hour_04_Local_AC_W,Hour_05_Local_AC_W,Hour_06_Local_AC_W,Hour_07_Local_AC_W,Hour_08_Local_AC_W,Hour_09_Local_AC_W,Hour_10_Local_AC_W,Hour_11_Local_AC_W,Hour_12_Local_AC_W,Hour_13_Local_AC_W,Hour_14_Local_AC_W,Hour_15_Local_AC_W,Hour_16_Local_AC_W,Hour_17_Local_AC_W,Hour_18_Local_AC_W,Hour_19_Local_AC_W,Hour_20_Local_AC_W,Hour_21_Local_AC_W,Hour_22_Local_AC_W,Hour_23_Local_AC_W,Daily_Energy_Wh,Peak_AC_W,Peak_Hour_Local
Liechtenstein,47.14,9.55,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1356.22,2181.93,2648.2,2860.36,2841.93,2591.2,2078.39,1165.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17723.71,2860.36,12
Lithuania,55.17,23.88,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.2,1365.9,1682.7,1671.15,1329.7,626.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7364.63,1682.7,12
Luxembourg,49.82,6.13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.23,925.12,1576.09,1907.43,1949.13,1705.45,1152.58,301.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9599.88,1949.13,12
Madagascar,-18.77,46.87,3,0.0,0.0,0.0,0.0,0.0,0.0,117.46,786.14,1541.74,2184.35,2654.26,2933.18,3017.13,2905.83,2599.73,2103.9,1440.17,678.63,64.92,0.0,0.0,0.0,0.0,0.0,23027.43,3017.13,12
Malawi,-13.25,34.3,2,0.0,0.0,0.0,0.0,0.0,0.0,152.88,886.18,1651.68,2279.53,2724.42,2974.12,3026.91,2882.88,2542.13,2009.63,1308.51,519.67,0.0,0.0,0.0,0.0,0.0,0.0,22958.54,3026.91,12
Malaysia,4.21,109.68,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.89,1570.0,2227.47,2684.54,2936.83,2985.74,2831.83,2473.61,1911.44,1158.12,288.44,0.0,0.0,0.0,0.0,0.0,0.0,21808.9,2985.74,12
Maldives,3.2,73.22,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.32,1165.13,1898.23,2443.27,2785.01,2922.1,2855.47,2584.56,2109.1,1437.34,612.53,0.0,0.0,0.0,0.0,0.0,0.0,21136.06,2922.1,12
Mali,17.57,-3.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.67,1562.73,2176.52,2570.08,2746.36,2708.25,2455.05,1983.16,1291.77,417.14,0.0,0.0,0.0,0.0,0.0,0.0,18651.74,2746.36,12
Malta,35.94,14.38,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,1423.99,2068.31,2448.75,2588.24,2494.25,2161.8,1571.57,686.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15926.4,2588.24,12
Marshall Islands,7.13,171.18,11,0.0,0.0,0.0,0.0,0.0,0.0,0.38,765.78,1592.86,2238.27,2679.03,2914.62,2943.24,2767.13,2384.47,1795.45,1013.75,146.25,0.0,0.0,0.0,0.0,0.0,0.0,21241.23,2943.24,12
Mauritania,21.01,-10.94,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.13,1272.75,2000.75,2498.79,2775.25,2836.23,2683.28,2312.66,1716.97,888.84,9.48,0.0,0.0,0.0,0.0,0.0,0.0,19326.12,2836.23,12
Mauritius,-20.35,57.55,4,0.0,0.0,0.0,0.0,0.0,0.0,37.35,583.83,1343.95,2025.86,2546.9,2880.68,3020.48,2965.5,2715.89,2274.7,1657.21,913.92,207.0,0.0,0.0,0.0,0.0,0.0,23173.28,3020.48,12
Mexico,23.63,-102.55,-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.93,1338.89,2090.77,2606.15,2901.26,2984.08,2856.98,2516.34,1953.0,1147.08,96.36,0.0,0.0,0.0,0.0,0.0,0.0,20802.84,2984.08,12
Micronesia,7.43,150.55,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.35,1306.46,2026.07,2546.42,2857.73,2963.21,2864.2,2559.41,2047.28,1333.65,460.73,0.0,0.0,0.0,0.0,0.0,0.0,21396.52,2963.21,12
Moldova,47.41,28.37,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.15,1065.24,1871.02,2319.8,2490.59,2404.77,2052.18,1378.8,281.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13876.15,2490.59,12
Monaco,43.73,7.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,796.84,1692.49,2234.23,2499.36,2514.73,2281.72,1777.52,932.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14729.74,2514.73,12
Mongolia,46.86,103.85,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.24,1410.73,2156.27,2567.87,2720.39,2631.38,2291.11,1647.3,505.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16082.34,2720.39,12
Montenegro,42.71,19.37,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.6,1734.85,2314.48,2619.94,2682.49,2507.3,2079.03,1342.81,191.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16251.39,2682.49,12
